Imie;Nazwisko;Plec;Ocena;Email
Pawel;Abacki;M;5;abc1@op.pl
Piotr;Cabacki;M;2;abc2@wp.pl
Mateusz;Babacki;M;3;abc3@op.com
Tadeusz;Krzak;M;5;abc8@vp.pl
Michal;Kowalski;M;5;abc10@op.pl
Pawel;Socha;M;4;abc11@gmail.pl
Wiktor;Kowalski;M;4;abc12@gmail.pl
Karol;Seba;M;2;abc13@wp.pl
Zbigniew;Pies;M;3;
Dariusz;Nowakowski;M;3;abc17@wp.pl
Karol;Kozidrak;M;4;
Konrad;Jukatan;M;4;abc21@interia.pl
Patryk;Rural;M;4;abc22@vp.pl
Kamil;Anders;M;4;abc23@vp.pl
Bogdan;Cebula;M;5;abc25@hotmail.om
Michal;Mak;M;4;abc26@hotmail.com
Marek;Rak;M;5;abc27@op.pl
Mariusz;Krzaczek;M;4;
